Departure,Arrival,Time,Date,Terminal
CityC,CityG,09:13,2023-09-11,3
CityE,CityG,03:10,2023-09-11,3
CityC,CityH,09:58,2023-09-11,1
CityB,CityH,04:30,2023-09-11,2
CityA,CityH,04:42,2023-09-11,2
CityA,CityH,17:11,2023-09-11,1
CityD,CityJ,21:33,2023-09-11,3
CityB,CityJ,09:14,2023-09-11,2
CityB,CityI,01:01,2023-09-11,1
CityE,CityJ,13:03,2023-09-12,2
CityB,CityF,12:36,2023-09-12,1
CityC,CityG,02:34,2023-09-12,1
CityD,CityJ,20:31,2023-09-12,3
CityE,CityJ,02:11,2023-09-12,2
CityB,CityH,01:30,2023-09-12,2
CityD,CityG,17:30,2023-09-12,1
CityD,CityJ,16:07,2023-09-12,3
CityD,CityF,03:16,2023-09-12,3
CityE,CityJ,23:40,2023-09-12,2
CityE,CityI,12:47,2023-09-12,1
CityC,CityF,07:50,2023-09-12,1
CityE,CityI,13:39,2023-09-13,2
CityB,CityI,07:55,2023-09-13,3
CityA,CityJ,19:53,2023-09-13,1
CityC,CityH,03:08,2023-09-13,1
CityE,CityJ,21:38,2023-09-13,1
CityD,CityJ,09:45,2023-09-13,1
CityB,CityF,19:17,2023-09-13,3
CityA,CityG,03:44,2023-09-13,3
CityC,CityI,08:38,2023-09-13,2
CityB,CityF,04:18,2023-09-13,2
CityE,CityI,19:29,2023-09-13,2
CityB,CityG,23:25,2023-09-14,1
CityD,CityH,08:48,2023-09-14,3
CityE,CityG,13:18,2023-09-14,2
CityE,CityF,17:20,2023-09-14,2
CityB,CityG,07:59,2023-09-14,3
CityD,CityG,02:23,2023-09-14,2
CityB,CityF,16:09,2023-09-14,2
CityA,CityF,15:46,2023-09-14,2
CityD,CityJ,22:12,2023-09-14,1
CityD,CityF,20:58,2023-09-14,2
CityC,CityF,01:25,2023-09-14,1
CityD,CityJ,23:50,2023-09-14,3
CityB,CityF,02:11,2023-09-14,3
CityD,CityG,01:15,2023-09-15,3
CityE,CityF,00:07,2023-09-15,3
CityD,CityH,12:14,2023-09-15,1
CityC,CityI,12:21,2023-09-15,3
CityA,CityF,21:07,2023-09-15,1
CityA,CityF,08:56,2023-09-15,2
CityD,CityI,06:27,2023-09-15,2
CityB,CityG,17:16,2023-09-15,2
CityA,CityJ,14:46,2023-09-16,3
CityB,CityG,19:20,2023-09-16,2
CityE,CityI,13:38,2023-09-16,3
CityC,CityJ,01:19,2023-09-16,1
CityC,CityH,21:48,2023-09-16,2
CityD,CityI,16:03,2023-09-16,2
CityA,CityF,08:38,2023-09-16,3
CityE,CityF,15:18,2023-09-16,1
CityB,CityI,15:20,2023-09-16,2
CityB,CityI,23:21,2023-09-16,3
CityB,CityG,05:45,2023-09-16,2
CityC,CityH,05:25,2023-09-16,2
CityD,CityG,11:34,2023-09-16,2
CityD,CityJ,07:44,2023-09-16,2
CityA,CityI,07:58,2023-09-16,2
CityE,CityG,21:44,2023-09-17,3
CityA,CityI,21:15,2023-09-17,1
CityC,CityH,05:07,2023-09-17,1
CityD,CityF,00:32,2023-09-17,3
CityB,CityH,18:30,2023-09-17,2
CityE,CityI,07:45,2023-09-17,2
CityD,CityH,17:27,2023-09-17,1
CityE,CityH,14:16,2023-09-17,2
CityC,CityJ,00:24,2023-09-18,2
CityC,CityH,04:12,2023-09-18,2
CityE,CityH,10:01,2023-09-18,2
CityA,CityI,21:19,2023-09-18,2
CityE,CityI,06:33,2023-09-18,2
CityD,CityF,20:38,2023-09-18,2
CityC,CityF,20:23,2023-09-18,3
CityB,CityI,15:28,2023-09-18,1
CityD,CityG,21:16,2023-09-18,2
CityE,CityJ,03:14,2023-09-19,2
CityA,CityF,22:29,2023-09-19,1
CityD,CityH,17:00,2023-09-19,3
CityD,CityF,17:59,2023-09-19,1
CityB,CityH,10:33,2023-09-19,3
CityC,CityH,11:55,2023-09-19,3
CityE,CityI,11:16,2023-09-19,3
CityD,CityJ,06:54,2023-09-19,3
CityB,CityG,23:00,2023-09-19,1
CityC,CityJ,06:22,2023-09-19,2
CityB,CityF,00:26,2023-09-19,2
CityE,CityJ,01:06,2023-09-20,1
CityC,CityI,08:41,2023-09-20,1
CityB,CityH,02:47,2023-09-20,3
CityC,CityG,01:23,2023-09-20,1
CityA,CityJ,06:50,2023-09-20,2
CityC,CityI,04:36,2023-09-20,1
CityD,CityJ,07:53,2023-09-20,3
CityB,CityH,03:58,2023-09-20,1
CityD,CityI,07:10,2023-09-21,2
CityE,CityJ,05:28,2023-09-21,2
CityD,CityI,23:49,2023-09-21,2
CityB,CityH,15:50,2023-09-21,2
CityC,CityI,13:27,2023-09-21,3
CityB,CityI,11:07,2023-09-21,3
CityB,CityJ,22:47,2023-09-21,1
CityA,CityH,22:11,2023-09-21,1
CityD,CityI,13:19,2023-09-21,3
CityA,CityJ,06:52,2023-09-21,2
CityD,CityH,01:25,2023-09-21,3
CityD,CityJ,04:13,2023-09-21,2
CityC,CityH,17:41,2023-09-21,1
CityB,CityI,10:24,2023-09-21,1
CityE,CityJ,15:01,2023-09-21,2
CityD,CityJ,10:02,2023-09-22,1
CityC,CityG,03:48,2023-09-22,1
CityC,CityF,16:40,2023-09-22,3
CityC,CityJ,09:36,2023-09-22,3
CityA,CityF,07:10,2023-09-22,1
CityB,CityF,22:02,2023-09-22,1
CityD,CityF,09:29,2023-09-22,1
CityC,CityJ,10:31,2023-09-22,3
CityA,CityF,07:53,2023-09-23,2
CityC,CityG,19:18,2023-09-23,2
CityB,CityG,10:17,2023-09-23,3
CityB,CityI,20:38,2023-09-23,1
CityE,CityJ,14:08,2023-09-23,2
CityB,CityI,03:57,2023-09-24,1
CityA,CityJ,15:56,2023-09-24,2
CityE,CityF,09:51,2023-09-24,2
CityB,CityF,15:38,2023-09-24,3
CityE,CityI,15:08,2023-09-24,1
CityB,CityJ,20:51,2023-09-24,1
CityB,CityH,06:12,2023-09-24,2
CityE,CityF,11:13,2023-09-24,1
CityE,CityI,12:31,2023-09-25,3
CityE,CityG,12:16,2023-09-25,1
CityA,CityJ,10:42,2023-09-25,1
CityC,CityI,19:37,2023-09-25,1
CityA,CityG,23:55,2023-09-25,2
CityC,CityG,23:24,2023-09-25,2
CityB,CityI,07:35,2023-09-25,3
CityE,CityF,12:15,2023-09-25,2
CityC,CityI,09:01,2023-09-25,1
CityA,CityF,05:38,2023-09-25,1
CityC,CityI,08:19,2023-09-25,2
CityD,CityJ,15:33,2023-09-25,3
CityA,CityF,20:40,2023-09-26,2
CityD,CityH,13:41,2023-09-26,3
CityE,CityH,19:33,2023-09-26,3
CityA,CityF,17:45,2023-09-26,3
CityC,CityI,16:00,2023-09-26,3
CityA,CityI,11:07,2023-09-26,2
CityB,CityI,06:44,2023-09-26,2
CityD,CityH,23:44,2023-09-26,3
CityB,CityG,15:04,2023-09-26,1
CityB,CityH,04:16,2023-09-26,2
CityA,CityF,16:45,2023-09-26,3
CityE,CityH,02:22,2023-09-27,1
CityD,CityI,12:26,2023-09-27,3
CityA,CityG,03:33,2023-09-27,1
CityC,CityF,23:47,2023-09-27,2
CityE,CityH,11:25,2023-09-27,3
CityA,CityH,12:22,2023-09-27,2
CityC,CityI,02:39,2023-09-27,1
CityE,CityG,08:42,2023-09-27,1
CityE,CityI,21:58,2023-09-27,1
CityA,CityH,17:48,2023-09-27,2
CityA,CityH,19:34,2023-09-27,2
CityD,CityF,14:36,2023-09-28,3
CityD,CityF,19:41,2023-09-28,1
CityC,CityH,10:14,2023-09-28,3
CityD,CityJ,03:29,2023-09-28,2
CityC,CityJ,04:53,2023-09-28,1
CityE,CityF,04:56,2023-09-28,2
CityC,CityF,11:09,2023-09-28,3
CityB,CityI,07:47,2023-09-29,3
CityE,CityF,01:28,2023-09-29,3
CityC,CityI,03:26,2023-09-29,1
CityD,CityH,16:09,2023-09-29,2
CityC,CityF,20:23,2023-09-29,2
CityB,CityH,16:04,2023-09-29,1
CityE,CityH,15:48,2023-09-30,2
CityD,CityF,19:56,2023-09-30,3
CityE,CityJ,04:11,2023-09-30,2
CityD,CityF,15:06,2023-09-30,1
CityC,CityF,23:38,2023-09-30,3
CityE,CityI,07:22,2023-09-30,2
CityC,CityJ,11:26,2023-10-01,2
CityC,CityG,08:12,2023-10-01,3
CityA,CityH,06:03,2023-10-01,3
CityB,CityF,18:25,2023-10-01,2
CityE,CityG,19:26,2023-10-01,1
CityD,CityJ,20:32,2023-10-01,1
CityB,CityH,09:29,2023-10-01,1
CityD,CityJ,04:31,2023-10-01,1
CityA,CityG,18:39,2023-10-01,2
CityA,CityI,16:44,2023-10-01,1
CityA,CityJ,23:41,2023-10-01,1
CityD,CityJ,11:45,2023-10-01,3
CityD,CityI,05:53,2023-10-01,2
CityB,CityI,15:50,2023-10-02,2
CityE,CityH,16:30,2023-10-02,2
CityB,CityG,06:34,2023-10-02,1
CityD,CityJ,00:17,2023-10-02,1
CityD,CityJ,05:41,2023-10-02,2
CityD,CityG,23:51,2023-10-02,1
CityA,CityJ,02:27,2023-10-02,2
CityD,CityH,10:38,2023-10-02,3
CityC,CityG,22:45,2023-10-02,2
CityE,CityI,02:51,2023-10-02,2
CityA,CityH,21:10,2023-10-02,1
CityC,CityH,13:30,2023-10-03,3
CityD,CityJ,16:59,2023-10-03,2
CityE,CityI,09:57,2023-10-03,2
CityE,CityJ,04:37,2023-10-03,1
CityB,CityI,08:33,2023-10-03,1
CityB,CityH,10:20,2023-10-03,2
CityC,CityJ,11:18,2023-10-03,1
CityD,CityJ,20:37,2023-10-03,2
CityD,CityH,14:58,2023-10-03,1
CityB,CityI,10:34,2023-10-03,3
CityB,CityI,15:01,2023-10-03,3
CityD,CityF,03:02,2023-10-04,3
CityE,CityI,01:48,2023-10-04,2
CityE,CityG,13:54,2023-10-04,1
CityB,CityF,07:47,2023-10-04,3
CityC,CityG,12:12,2023-10-04,1
CityD,CityH,14:33,2023-10-04,2
CityE,CityF,23:13,2023-10-04,1
CityD,CityF,01:48,2023-10-04,3
CityB,CityF,11:55,2023-10-04,1
CityE,CityI,20:37,2023-10-04,3
CityA,CityG,18:18,2023-10-04,1
CityD,CityF,20:34,2023-10-04,2
CityC,CityI,12:51,2023-10-05,1
CityA,CityF,05:16,2023-10-05,3
CityC,CityF,18:12,2023-10-05,3
CityD,CityJ,09:45,2023-10-05,3
CityE,CityG,00:57,2023-10-05,2
CityB,CityF,04:59,2023-10-05,1
CityD,CityH,13:57,2023-10-06,2
CityC,CityF,11:28,2023-10-06,1
CityD,CityI,00:30,2023-10-06,3
CityD,CityI,17:48,2023-10-06,3
CityE,CityJ,20:45,2023-10-06,1
CityA,CityH,00:40,2023-10-06,2
CityB,CityG,03:31,2023-10-06,2
CityB,CityG,18:13,2023-10-07,1
CityC,CityG,14:50,2023-10-07,3
CityB,CityF,01:01,2023-10-07,1
CityD,CityH,00:52,2023-10-07,3
CityA,CityI,11:08,2023-10-07,2
CityC,CityF,06:27,2023-10-07,1
CityC,CityJ,10:43,2023-10-07,1
CityB,CityI,08:47,2023-10-08,2
CityA,CityF,10:12,2023-10-08,3
CityE,CityG,16:53,2023-10-08,1
CityC,CityI,05:40,2023-10-08,3
CityA,CityF,16:58,2023-10-08,1
CityC,CityF,23:41,2023-10-08,2
CityD,CityJ,14:05,2023-10-08,1
CityE,CityH,19:48,2023-10-08,3
CityD,CityJ,20:45,2023-10-08,2
CityA,CityG,22:19,2023-10-08,2
CityC,CityF,10:26,2023-10-09,1
CityE,CityI,11:28,2023-10-09,1
CityE,CityF,13:36,2023-10-09,2
CityA,CityF,03:04,2023-10-09,3
CityA,CityH,00:34,2023-10-09,2
CityE,CityG,01:15,2023-10-09,3
CityB,CityG,07:48,2023-10-09,2
CityC,CityF,12:23,2023-10-09,3
CityD,CityI,19:29,2023-10-09,1
CityA,CityJ,14:44,2023-10-09,2
CityE,CityI,08:45,2023-10-09,1
CityB,CityH,15:53,2023-10-10,2
CityB,CityH,22:00,2023-10-10,1
CityB,CityJ,22:56,2023-10-10,3
CityB,CityH,02:58,2023-10-10,2
CityB,CityH,13:10,2023-10-10,2
CityA,CityH,08:38,2023-10-10,1
CityD,CityH,00:49,2023-10-10,1
CityD,CityJ,06:28,2023-10-11,1
CityA,CityH,10:14,2023-10-11,2
CityC,CityH,02:25,2023-10-11,1
CityD,CityG,14:52,2023-10-11,1
CityD,CityH,18:20,2023-10-11,1
CityD,CityH,05:08,2023-10-11,2
CityA,CityG,19:31,2023-10-11,2
CityC,CityF,21:51,2023-10-11,3
CityA,CityH,19:53,2023-10-11,1
CityB,CityI,04:59,2023-10-11,1
CityA,CityI,23:31,2023-10-11,2
CityA,CityI,22:43,2023-10-11,3
CityE,CityF,10:13,2023-10-12,3
CityD,CityF,08:26,2023-10-12,2
CityB,CityJ,11:34,2023-10-12,1
CityA,CityF,07:41,2023-10-12,2
CityB,CityF,11:48,2023-10-12,3
CityB,CityI,02:35,2023-10-12,3
CityC,CityI,11:32,2023-10-12,3
CityE,CityF,00:43,2023-10-12,1
CityB,CityI,02:40,2023-10-12,1
CityA,CityI,16:41,2023-10-12,1
CityD,CityH,23:00,2023-10-12,1
CityD,CityG,16:18,2023-10-12,3
CityD,CityH,08:57,2023-10-12,3
CityA,CityJ,03:23,2023-10-12,3
CityB,CityI,05:54,2023-10-12,3
CityD,CityH,03:42,2023-10-13,1
CityD,CityH,03:14,2023-10-13,3
CityB,CityI,18:48,2023-10-13,2
CityB,CityJ,12:09,2023-10-13,3
CityA,CityJ,01:07,2023-10-13,2
CityC,CityJ,12:41,2023-10-13,2
CityA,CityI,01:45,2023-10-13,2
CityC,CityH,21:34,2023-10-13,2
CityE,CityH,23:08,2023-10-13,1
CityA,CityF,02:54,2023-10-13,2
CityC,CityF,14:04,2023-10-13,2
CityB,CityH,01:42,2023-10-13,2
CityE,CityG,00:48,2023-10-13,2
CityA,CityG,14:14,2023-10-13,2
CityA,CityJ,06:44,2023-10-13,2
CityA,CityJ,20:51,2023-10-14,2
CityA,CityG,13:59,2023-10-14,1
CityD,CityJ,18:50,2023-10-14,2
CityA,CityH,20:53,2023-10-14,2
CityE,CityJ,05:49,2023-10-14,3
CityC,CityH,06:51,2023-10-14,1
CityC,CityG,01:26,2023-10-14,2
CityC,CityG,21:58,2023-10-14,2
CityB,CityG,15:28,2023-10-15,1
CityC,CityJ,01:01,2023-10-15,1
CityD,CityF,10:21,2023-10-15,1
CityE,CityJ,14:07,2023-10-15,2
CityA,CityF,16:26,2023-10-15,3
CityE,CityJ,23:38,2023-10-15,3
CityE,CityG,22:46,2023-10-15,2
CityD,CityJ,08:07,2023-10-15,3
CityC,CityF,16:01,2023-10-16,1
CityA,CityH,23:22,2023-10-16,2
CityA,CityJ,13:25,2023-10-16,1
CityE,CityH,19:32,2023-10-16,3
CityC,CityI,05:57,2023-10-16,1
CityA,CityJ,05:36,2023-10-16,3
CityE,CityG,21:49,2023-10-16,2
CityC,CityF,21:38,2023-10-16,1
CityE,CityG,19:56,2023-10-16,3
CityE,CityG,06:31,2023-10-16,3
CityD,CityJ,22:36,2023-10-16,3
CityE,CityH,00:17,2023-10-16,3
CityA,CityH,18:37,2023-10-17,2
CityE,CityF,02:17,2023-10-17,2
CityB,CityG,22:24,2023-10-17,2
CityE,CityI,08:04,2023-10-17,2
CityB,CityJ,15:12,2023-10-17,3
CityC,CityH,21:28,2023-10-18,1
CityC,CityG,04:05,2023-10-18,1
CityA,CityH,02:41,2023-10-18,3
CityA,CityH,00:12,2023-10-18,3
CityB,CityJ,07:08,2023-10-18,2
CityC,CityJ,04:46,2023-10-18,2
CityC,CityF,10:15,2023-10-19,2
CityC,CityJ,12:38,2023-10-19,3
CityD,CityG,00:32,2023-10-19,1
CityE,CityF,08:20,2023-10-19,2
CityC,CityI,07:21,2023-10-19,2
CityC,CityF,16:13,2023-10-19,2
CityC,CityH,13:23,2023-10-20,3
CityA,CityJ,03:10,2023-10-20,1
CityA,CityG,05:45,2023-10-20,2
